Sample,Site,Colony_num,FAM_mean,VIC_mean,cellnum_C,cellnum_D,D_prop,C_prop,CDratio_log,LBSP
Alu_F1,Faga'alu,1,25.0754905,NA,0,31097.46811,1,0,-20,Moderate
Alu_F3,Faga'alu,3,25.93684682,NA,0,17117.12964,1,0,-20,Moderate
Alu_F4,Faga'alu,4,23.73873132,NA,0,78547.00712,1,0,-20,Moderate
AluF2,Faga'alu,2,26.06995375,36.08867166,1.671801249,15608.52129,0.999892903,0.000107097,-9.141670644,Moderate
AluF5,Faga'alu,5,22.8351377,NA,0,146939.455,1,0,-20,Moderate
AluF6,Faga'alu,6,22.86576371,NA,0,143853.0506,1,0,-20,Moderate
AluF7,Faga'alu,7,24.9280037,NA,0,34444.74563,1,0,-20,Moderate
AluF8,Faga'alu,8,21.87062811,NA,0,286737.6638,1,0,-20,Moderate
CanII_F1,Cannery,1,27.1257083,NA,0,7508.4099,1,0,-20,High
CanII_F2,Cannery,2,26.11626882,NA,0,15115.39629,1,0,-20,High
CanII_F3,Cannery,3,28.87994485,NA,0,2225.718074,1,0,-20,High
CanII_F4,Cannery,4,26.26870073,NA,0,13599.81369,1,0,-20,High
CanIIF6,Cannery,6,27.04295086,NA,0,7951.708399,1,0,-20,High
CanIIF7,Cannery,7,30.09822011,NA,0,956.6052463,1,0,-20,High
CanIIF8,Cannery,8,26.48346361,NA,0,11718.79319,1,0,-20,High
CocoII_F1,Coconut Point,1,28.68350786,NA,0,2550.372288,1,0,-20,High
CocoII_F2,Coconut Point,2,28.04798076,NA,0,3962.016684,1,0,-20,High
CocoII_F3,Coconut Point,3,23.88998635,NA,0,70728.97074,1,0,-20,High
CocoII_F4,Coconut Point,4,23.91187216,NA,0,69664.10371,1,0,-20,High
CocoIIF5,Coconut Point,5,26.37418799,NA,0,12640.90392,1,0,-20,High
CocoIIF6,Coconut Point,6,23.14628027,NA,0,118433.6673,1,0,-20,High
CocoIIF7,Coconut Point,7,26.51058927,NA,0,11500.51404,1,0,-20,High
CocoIIF8,Coconut Point,8,26.27546734,NA,0,13536.17649,1,0,-20,High
Tele_F1,Faga'tele,1,23.86075437,30.74318607,67.97295442,72176.7032,0.999059129,0.000940871,-6.967762706,Low
Tele_F2,Faga'tele,2,27.84732001,22.38993663,22228.7371,4553.246933,0.170011562,0.829988438,1.585545326,Low
Tele_F3,Faga'tele,3,24.88099216,26.23413361,1547.73353,35585.64685,0.958319617,0.041680383,-3.135150756,Low
Tele_F4,Faga'tele,4,26.30506594,37.73877244,0.532665801,13261.29517,0.999959835,4.02E-05,-10.122466,Low
TeleF5,Faga'tele,5,29.80825879,35.70640306,2.179008668,1169.552747,0.998140352,0.001859648,-6.285506653,Low
TeleF6,Faga'tele,6,25.13793675,35.68473474,2.211982945,29780.14697,0.999925728,7.43E-05,-9.507707868,Low
TeleF7,Faga'tele,7,28.19382317,NA,0,3581.07454,1,0,-20,Low
TeleF8,Faga'tele,8,25.99911163,NA,0,16394.09194,1,0,-20,Low
Vat_F1,Vatia,1,25.89880611,NA,0,17574.474,1,0,-20,Moderate
Vat_F2,Vatia,2,27.26353668,NA,0,6824.290361,1,0,-20,Moderate
Vat_F3,Vatia,3,24.33765192,NA,0,51860.48508,1,0,-20,Moderate
Vat_F4,Vatia,4,26.45571478,NA,0,11946.37436,1,0,-20,Moderate
VatiaF5,Vatia,5,25.19080537,30.47889542,81.63860216,28708.58552,0.997164364,0.002835636,-5.862649288,Moderate
VatiaF6,Vatia,6,22.27652933,35.50727998,2.501502724,216419.4545,0.999988442,1.16E-05,-11.36808208,Moderate
VatiaF7,Vatia,7,25.9349597,NA,0,17139.53442,1,0,-20,Moderate